order_id,product_id,quantity,price,review_score
1000,543,3,212.77,5.0
1001,887,2,421.14,5.0
1002,368,5,91.58,5.0
1003,762,2,388.35,4.0
1004,651,5,61.91,2.0
1005,281,4,120.02,5.0
1006,797,2,164.55,5.0
1007,621,5,34.61,5.0
1008,713,1,88.02,5.0
1009,545,4,107.84,1.0
1010,819,5,192.51,4.0
1011,101,2,92.22,5.0
1012,804,2,106.07,Null
1013,693,5,60.33,4.0
1014,957,3,266.13,5.0
1015,537,4,375.98,Null
1016,901,1,101.9,1.0
1017,704,3,55.6,4.0
1018,626,4,213.97,3.0
1019,629,3,344.86,5.0
1020,371,4,476.07,5.0
1021,713,3,83.92,4.0
1022,747,5,364.55,Null
1023,622,2,325.73,5.0
1024,626,4,213.97,3.0
1025,961,5,228.55,Null
1026,282,1,467.54,3.0
1027,852,4,204.56,Null
1028,511,2,289.9,5.0
1029,572,3,395.04,5.0
1030,265,2,217.67,5.0
1031,424,1,63.59,5.0
1032,417,1,36.52,Null
1033,957,3,266.13,5.0
1034,798,3,367.78,2.0
1035,840,4,20.46,3.0
1036,132,3,301.92,Null
1037,107,3,117.47,4.0
1038,246,5,320.72,4.0
1039,261,2,321.18,2.0
1040,950,4,346.44,Null
1041,314,1,337.8,4.0
1042,394,2,343.76,5.0
1043,643,3,234.44,Null
1044,509,2,55.58,5.0
1045,322,1,24.0,3.0
1046,867,5,308.4,3.0
1047,755,4,149.06,5.0
1048,554,3,299.39,3.0
1049,536,5,87.27,5.0
1050,320,2,106.66,Null
1051,409,2,333.66,Null
1052,452,3,398.91,1.0
1053,628,4,421.13,5.0
1054,829,1,99.38,Null
1055,285,1,264.29,5.0
1056,995,3,115.91,Null
1057,889,4,75.71,2.0
1058,712,3,18.28,Null
1059,349,2,350.64,Null
1060,500,5,187.51,4.0
1061,880,4,322.59,Null
1062,106,3,87.9,Null
1063,433,5,369.7,4.0
1064,568,5,494.81,3.0
1065,899,5,230.49,4.0
1066,853,5,153.82,4.0
1067,348,5,275.88,Null
1068,897,2,14.47,5.0
1069,405,2,486.1,4.0
1070,311,5,50.52,5.0
1071,280,5,401.05,Null
1072,576,1,443.43,5.0
1073,953,5,58.91,5.0
1074,418,5,246.68,5.0
1075,783,5,51.74,Null
1076,482,3,297.2,Null
1077,645,5,229.57,4.0
1078,225,2,304.0,2.0
1079,479,2,276.73,3.0
1080,613,3,351.62,5.0
1081,196,1,217.55,5.0
1082,102,2,380.42,Null
1083,142,3,34.64,3.0
1084,237,1,101.82,5.0
1085,683,1,404.07,5.0
1086,773,1,494.87,5.0
1087,732,1,380.08,1.0
1088,988,1,465.66,1.0
1089,861,3,376.51,Null
1090,354,1,292.09,3.0
1091,983,4,469.33,5.0
1092,715,2,405.02,Null
1093,122,5,420.63,3.0
1094,588,2,264.15,3.0
1095,346,2,158.75,4.0
1096,454,5,334.71,5.0
1097,536,5,87.27,5.0
1098,886,5,346.54,Null
1099,427,3,227.71,4.0
1100,526,2,122.23,5.0
1101,907,3,77.37,1.0
1102,290,2,127.78,4.0
1103,876,3,97.08,5.0
1104,203,2,129.35,5.0
1105,577,4,149.49,4.0
1106,747,5,168.47,Null
1107,839,1,311.67,Null
1108,485,5,489.21,5.0
1109,179,4,20.84,2.0
1110,928,1,313.67,5.0
1111,162,5,198.02,4.0
1112,369,2,486.84,5.0
1113,369,3,486.84,5.0
1114,721,3,192.8,4.0
1115,226,2,254.46,4.0
1116,225,5,304.0,2.0
1117,576,3,197.53,5.0
1118,855,5,301.07,5.0
1119,829,2,196.16,5.0
1120,101,2,49.31,Null
1121,893,4,316.41,4.0
1122,811,1,60.3,Null
1123,842,4,284.33,1.0
1124,596,3,199.31,5.0
