product_id,product_name,category_id,price
784,Smartphone,10,373.36
682,Soccer Ball,50,299.34
684,Tent,50,23.0
204,Story Book,40,230.11
202,Skirt,20,176.72
829,Smartphone,10,196.16
706,Tablet,10,272.75
405,Yoga Mat,50,292.9
549,Pillow,30,429.11
545,Blanket,30,191.39
549,Smartwatch,10,321.14
773,Notebook,40,494.87
526,Pillow,30,122.23
544,Laptop,10,457.44
943,Pen,40,443.49
297,Shirt,20,274.1
107,Notebook,40,117.47
871,Smartphone,10,84.89
457,Tablet,10,196.99
941,Smartphone,10,344.04
853,Pillow,30,153.82
938,Carpet,30,383.36
867,Carpet,30,308.4
424,Soccer Ball,50,303.48
461,Blanket,30,38.38
485,Novel,40,489.21
704,Eraser,40,90.91
732,Shirt,20,380.08
815,Vase,30,450.81
768,Pillow,30,298.27
658,Laptop,10,43.03
314,Dress,20,337.8
264,Tent,50,241.61
653,Tablet,10,183.61
289,Smartphone,10,207.28
353,Pants,20,272.78
824,T-shirt,20,227.13
499,Soccer Ball,50,484.81
374,Skirt,20,452.2
355,Vase,30,149.77
573,Running Shoes,50,85.85
861,Soccer Ball,50,376.51
410,Basketball,50,37.87
615,Soccer Ball,50,340.85
673,Basketball,50,293.67
182,Tent,50,266.16
971,Dress,20,203.94
476,Smartphone,10,234.56
161,Shirt,20,139.95
837,Painting,30,87.3
416,Soccer Ball,50,337.25
660,Dress,20,66.56
961,Carpet,30,113.21
309,Carpet,30,249.38
294,Pillow,30,11.74
649,Eraser,40,355.78
945,Shirt,20,27.65
395,T-shirt,20,161.05
922,T-shirt,20,183.3
799,Basketball,50,463.62
311,Skirt,20,22.15
216,Story Book,40,140.73
684,Story Book,40,107.79
354,Pants,20,21.6
202,Headphones,10,182.06
119,Yoga Mat,50,470.23
533,Yoga Mat,50,28.75
362,Vase,30,307.04
721,Dress,20,31.75
732,Basketball,50,188.47
675,Yoga Mat,50,335.06
569,Vase,30,169.83
915,Pen,40,341.89
260,Soccer Ball,50,158.9
381,Vase,30,226.48
755,T-shirt,20,149.06
624,Dress,20,120.07
551,Eraser,40,426.37
293,Basketball,50,361.99
941,Smartphone,10,391.43
621,Running Shoes,50,34.61
212,Skirt,20,337.11
141,Eraser,40,409.35
858,Story Book,40,374.39
351,Carpet,30,247.45
606,Blanket,30,143.14
166,Pants,20,197.69
348,Notebook,40,275.88
653,Eraser,40,473.57
209,Pen,40,12.89
491,Eraser,40,376.28
770,Story Book,40,143.74
349,Story Book,40,421.85
634,Eraser,40,286.55
142,Story Book,40,34.64
979,Vase,30,146.35
650,Smartwatch,10,35.52
994,Smartphone,10,475.31
912,Pants,20,242.04
101,Painting,30,92.22
865,Dress,20,62.97
563,Pen,40,471.32
613,T-shirt,20,351.62
705,Smartwatch,10,393.49
292,Smartwatch,10,327.3
952,Tablet,10,480.79
832,Skirt,20,96.31
918,Running Shoes,50,237.79
360,T-shirt,20,146.67
863,Running Shoes,50,174.83
575,Dress,20,400.94
133,Carpet,30,14.97
159,Eraser,40,381.5
704,Novel,40,55.6
793,Yoga Mat,50,241.9
273,Yoga Mat,50,182.39
798,Laptop,10,164.62
182,Pants,20,116.03
222,Tent,50,148.67
793,Blanket,30,158.11
399,Smartwatch,10,153.15
914,Smartphone,10,291.29
774,Headphones,10,471.12
363,Novel,40,292.74
783,Yoga Mat,50,51.74
466,Tent,50,397.46
988,Notebook,40,431.48
334,Soccer Ball,50,474.32
978,Laptop,10,127.53
237,Eraser,40,240.26
555,Novel,40,346.82
695,Skirt,20,66.24
135,T-shirt,20,39.22
318,Vase,30,70.93
757,Carpet,30,274.59
386,Notebook,40,305.82
115,Tent,50,475.89
285,Skirt,20,264.29
744,Running Shoes,50,321.04
910,Notebook,40,167.32
749,Notebook,40,334.67
858,Novel,40,164.11
261,Soccer Ball,50,332.25
632,Yoga Mat,50,315.09
363,Dress,20,279.12
369,Smartphone,10,486.84
398,Carpet,30,16.7
233,Tablet,10,474.06
543,Carpet,30,355.65
798,Skirt,20,280.12
620,T-shirt,20,145.36
845,Pillow,30,148.59
177,Story Book,40,228.81
178,Running Shoes,50,233.12
395,Shirt,20,197.66
394,Pen,40,494.32
775,Laptop,10,256.12
937,Novel,40,267.72
114,T-shirt,20,240.05
625,Headphones,10,427.65
575,Eraser,40,27.59
180,Blanket,30,375.92
971,Tablet,10,91.52
203,Headphones,10,185.65
204,Basketball,50,93.29
955,Skirt,20,457.29
606,Notebook,40,336.75
656,T-shirt,20,226.45
836,Notebook,40,233.85
167,Novel,40,126.23
883,Pillow,30,489.19
112,Smartwatch,10,375.13
629,Blanket,30,321.94
189,T-shirt,20,452.67
276,Smartwatch,10,188.78
139,Story Book,40,108.39
111,Yoga Mat,50,416.93
683,Painting,30,404.07
563,Skirt,20,483.96
633,Headphones,10,272.92
975,Carpet,30,196.7
157,Skirt,20,22.26
620,Tablet,10,455.6
910,Smartphone,10,159.14
157,Basketball,50,200.44
661,Running Shoes,50,297.8
839,Tablet,10,311.67
128,Pen,40,475.77
719,Yoga Mat,50,39.67
210,Novel,40,334.76
