order_id,product_id,quantity,price,review_score
1000,543,3,212.77,5.0
1000,887,2,421.14,5.0
1000,368,5,91.58,5.0
1001,762,2,388.35,4.0
1002,651,5,61.91,2.0
1002,281,4,120.02,5.0
1002,797,2,164.55,5.0
1003,621,5,34.61,5.0
1003,713,1,88.02,5.0
1004,545,4,107.84,1.0
1005,819,5,192.51,4.0
1005,101,2,92.22,5.0
1006,804,2,106.07,Null
1006,693,5,60.33,4.0
1006,957,3,266.13,5.0
1007,537,4,375.98,Null
1007,901,1,101.9,1.0
1008,704,3,55.6,4.0
1008,626,4,213.97,3.0
1008,629,3,344.86,5.0
1009,371,4,476.07,5.0
1010,713,3,83.92,4.0
1010,747,5,364.55,Null
1011,622,2,325.73,5.0
1011,626,4,213.97,3.0
1011,961,5,228.55,Null
1012,282,1,467.54,3.0
1012,852,4,204.56,Null
1012,511,2,289.9,5.0
1013,572,3,395.04,5.0
1014,265,2,217.67,5.0
1015,424,1,63.59,5.0
1015,417,1,36.52,Null
1016,957,3,266.13,5.0
1017,798,3,367.78,2.0
1017,840,4,20.46,3.0
1017,132,3,301.92,Null
1018,107,3,117.47,4.0
1018,246,5,320.72,4.0
1018,261,2,321.18,2.0
1019,950,4,346.44,Null
1019,314,1,337.8,4.0
1019,394,2,343.76,5.0
1020,643,3,234.44,Null
1021,509,2,55.58,5.0
1021,322,1,24.0,3.0
1021,867,5,308.4,3.0
1022,755,4,149.06,5.0
1022,554,3,299.39,3.0
1022,536,5,87.27,5.0
1023,320,2,106.66,Null
1023,409,2,333.66,Null
1023,452,3,398.91,1.0
1024,628,4,421.13,5.0
1024,829,1,99.38,Null
1025,285,1,264.29,5.0
1026,995,3,115.91,Null
1026,889,4,75.71,2.0
1026,712,3,18.28,Null
1027,349,2,350.64,Null
1027,500,5,187.51,4.0
1027,880,4,322.59,Null
1028,106,3,87.9,Null
1028,433,5,369.7,4.0
1029,568,5,494.81,3.0
1029,899,5,230.49,4.0
1029,853,5,153.82,4.0
1030,348,5,275.88,Null
1031,897,2,14.47,5.0
1032,405,2,486.1,4.0
1033,311,5,50.52,5.0
1034,280,5,401.05,Null
1034,576,1,443.43,5.0
1034,953,5,58.91,5.0
1035,418,5,246.68,5.0
1035,783,5,51.74,Null
1035,482,3,297.2,Null
1036,645,5,229.57,4.0
1036,225,2,304.0,2.0
1037,479,2,276.73,3.0
1037,613,3,351.62,5.0
1037,196,1,217.55,5.0
1038,102,2,380.42,Null
1038,142,3,34.64,3.0
1038,237,1,101.82,5.0
1039,683,1,404.07,5.0
1040,773,1,494.87,5.0
1041,732,1,380.08,1.0
1042,988,1,465.66,1.0
1043,861,3,376.51,Null
1043,354,1,292.09,3.0
1044,983,4,469.33,5.0
1045,715,2,405.02,Null
1046,122,5,420.63,3.0
1046,588,2,264.15,3.0
1046,346,2,158.75,4.0
1047,454,5,334.71,5.0
1048,536,5,87.27,5.0
1048,886,5,346.54,Null
1049,427,3,227.71,4.0
1049,526,2,122.23,5.0
1050,907,3,77.37,1.0
1050,290,2,127.78,4.0
1050,876,3,97.08,5.0
1051,203,2,129.35,5.0
1052,577,4,149.49,4.0
1053,747,5,168.47,Null
1054,839,1,311.67,Null
1054,485,5,489.21,5.0
1055,179,4,20.84,2.0
1055,928,1,313.67,5.0
1055,162,5,198.02,4.0
1056,369,2,486.84,5.0
1056,369,3,486.84,5.0
1056,721,3,192.8,4.0
1057,226,2,254.46,4.0
1057,225,5,304.0,2.0
1058,576,3,197.53,5.0
